model,source,metric,before,after,delta,percent
qwen-0.5b-q4,libdd_go_hook/test/test_go_ctx.c,lmcc_per_token,0.0948509485094851,0.11267175572519084,0.01782080721570574,18.788222464558334
qwen-0.5b-q4,libdd_go_hook/test/test_go_ctx.c,llm_cc,70.0,73.8,3.799999999999997,5.428571428571424
qwen-0.5b-q4,libdd_go_hook/test/test_go_ctx.c,mean_entropy,0.7058455658239975,0.8481559420201771,0.1423103761961796,20.16168735579543
qwen-0.5b-q4,libdd_go_hook/test/test_go_ctx.c,density,0.33739837398373984,0.3969465648854962,0.05954819090175634,17.649222845580795
qwen-0.5b-q4,libdd_go_hook/test/test_go_hook_engine.c,lmcc_per_token,0.14033149171270717,0.12849162011173185,-0.011839871600975327,-8.437073857387931
qwen-0.5b-q4,libdd_go_hook/test/test_go_hook_engine.c,llm_cc,25.4,23.0,-2.3999999999999986,-9.448818897637791
qwen-0.5b-q4,libdd_go_hook/test/test_go_hook_engine.c,mean_entropy,1.486730459161638,1.51843143283915,0.03170097367751201,2.132260994732568
qwen-0.5b-q4,libdd_go_hook/test/test_go_hook_engine.c,density,0.6187845303867403,0.6703910614525139,0.05160653106577362,8.339984038308058
qwen-0.5b-q4,libdd_go_hook/test/test_go_pclntab.c,lmcc_per_token,0.09384057971014492,0.07804878048780488,-0.015791799222340044,-16.82832658442414
qwen-0.5b-q4,libdd_go_hook/test/test_go_pclntab.c,llm_cc,51.8,73.6,21.799999999999997,42.08494208494208
qwen-0.5b-q4,libdd_go_hook/test/test_go_pclntab.c,mean_entropy,1.0200574709969643,0.7685374678664243,-0.25152000313054,-24.657434535008523
qwen-0.5b-q4,libdd_go_hook/test/test_go_pclntab.c,density,0.43478260869565216,0.30328738069989397,-0.1314952279957582,-30.243902439024385
qwen-0.5b-q4,libdd_go_hook/test/test_go_read.c,lmcc_per_token,0.11495495495495495,0.11035856573705179,-0.00459638921790316,-3.998426357266856
qwen-0.5b-q4,libdd_go_hook/test/test_go_read.c,llm_cc,63.8,55.4,-8.399999999999999,-13.166144200626958
qwen-0.5b-q4,libdd_go_hook/test/test_go_read.c,mean_entropy,0.9067647413453422,0.9721392955657918,0.06537455422044958,7.209648902256072
qwen-0.5b-q4,libdd_go_hook/test/test_go_read.c,density,0.409009009009009,0.448207171314741,0.03919816230573203,9.583691665057831
qwen-0.5b-q6,libdd_go_hook/test/test_go_ctx.c,lmcc_per_token,0.0964769647696477,0.11083969465648855,0.014362729886840842,14.88721159619177
qwen-0.5b-q6,libdd_go_hook/test/test_go_ctx.c,llm_cc,71.2,72.6,1.3999999999999915,1.9662921348314486
qwen-0.5b-q6,libdd_go_hook/test/test_go_ctx.c,mean_entropy,0.6964880299391945,0.826946529864426,0.1304584999252315,18.73090337771073
qwen-0.5b-q6,libdd_go_hook/test/test_go_ctx.c,density,0.3333333333333333,0.3893129770992366,0.05597964376590331,16.793893129770993
qwen-0.5b-q6,libdd_go_hook/test/test_go_hook_engine.c,lmcc_per_token,0.14033149171270717,0.12849162011173185,-0.011839871600975327,-8.437073857387931
qwen-0.5b-q6,libdd_go_hook/test/test_go_hook_engine.c,llm_cc,25.4,23.0,-2.3999999999999986,-9.448818897637791
qwen-0.5b-q6,libdd_go_hook/test/test_go_hook_engine.c,mean_entropy,1.4472762802538581,1.4783567340918375,0.031080453837979416,2.147513523301009
qwen-0.5b-q6,libdd_go_hook/test/test_go_hook_engine.c,density,0.6353591160220995,0.6480446927374302,0.01268557671533066,1.9965994656303037
qwen-0.5b-q6,libdd_go_hook/test/test_go_pclntab.c,lmcc_per_token,0.09384057971014492,0.07932131495227995,-0.01451926475786497,-15.472266691778888
qwen-0.5b-q6,libdd_go_hook/test/test_go_pclntab.c,llm_cc,51.8,74.8,23.0,44.401544401544406
qwen-0.5b-q6,libdd_go_hook/test/test_go_pclntab.c,mean_entropy,1.0085008205142596,0.7668841764387547,-0.24161664407550487,-23.9580017349216
qwen-0.5b-q6,libdd_go_hook/test/test_go_pclntab.c,density,0.42934782608695654,0.30965005302226933,-0.11969777306468721,-27.878974992281577
qwen-0.5b-q6,libdd_go_hook/test/test_go_read.c,lmcc_per_token,0.11495495495495495,0.11274900398406373,-0.002205950970891213,-1.9189698884711963
qwen-0.5b-q6,libdd_go_hook/test/test_go_read.c,llm_cc,63.8,56.599999999999994,-7.200000000000003,-11.285266457680255
qwen-0.5b-q6,libdd_go_hook/test/test_go_read.c,mean_entropy,0.8935081803879642,0.9518526241547832,0.05834444376681902,6.529816407666875
qwen-0.5b-q6,libdd_go_hook/test/test_go_read.c,density,0.409009009009009,0.448207171314741,0.03919816230573203,9.583691665057831
qwen-1.5b-q6,libdd_go_hook/test/test_go_ctx.c,lmcc_per_token,0.08455284552845528,0.1065648854961832,0.022012039967727923,26.033470346447448
qwen-1.5b-q6,libdd_go_hook/test/test_go_ctx.c,llm_cc,62.4,69.8,7.399999999999999,11.858974358974358
qwen-1.5b-q6,libdd_go_hook/test/test_go_ctx.c,mean_entropy,0.5928789720922946,0.7387183933325986,0.14583942124030402,24.59851472310287
qwen-1.5b-q6,libdd_go_hook/test/test_go_ctx.c,density,0.2845528455284553,0.3450381679389313,0.060485322410475995,21.256270447110136
qwen-1.5b-q6,libdd_go_hook/test/test_go_hook_engine.c,lmcc_per_token,0.14033149171270717,0.12849162011173185,-0.011839871600975327,-8.437073857387931
qwen-1.5b-q6,libdd_go_hook/test/test_go_hook_engine.c,llm_cc,25.4,23.0,-2.3999999999999986,-9.448818897637791
qwen-1.5b-q6,libdd_go_hook/test/test_go_hook_engine.c,mean_entropy,1.2988151370178527,1.2980878259050113,-0.0007273111128414111,-0.05599804715175675
qwen-1.5b-q6,libdd_go_hook/test/test_go_hook_engine.c,density,0.574585635359116,0.5642458100558659,-0.010339825303250061,-1.7995272883540971
qwen-1.5b-q6,libdd_go_hook/test/test_go_pclntab.c,lmcc_per_token,0.09166666666666666,0.07126193001060444,-0.020404736656062225,-22.259712715704246
qwen-1.5b-q6,libdd_go_hook/test/test_go_pclntab.c,llm_cc,50.599999999999994,67.19999999999999,16.599999999999994,32.80632411067193
qwen-1.5b-q6,libdd_go_hook/test/test_go_pclntab.c,mean_entropy,0.9304594333387589,0.6454055161288161,-0.2850539172099428,-30.635824303171013
qwen-1.5b-q6,libdd_go_hook/test/test_go_pclntab.c,density,0.40942028985507245,0.26617179215270415,-0.1432484977023683,-34.988128642348364
qwen-1.5b-q6,libdd_go_hook/test/test_go_read.c,lmcc_per_token,0.11063063063063062,0.11035856573705179,-0.00027206489357883834,-0.2459218500590477
qwen-1.5b-q6,libdd_go_hook/test/test_go_read.c,llm_cc,61.4,55.4,-6.0,-9.77198697068404
qwen-1.5b-q6,libdd_go_hook/test/test_go_read.c,mean_entropy,0.7653430336061131,0.8064283062585637,0.041085272652450544,5.368216714388394
qwen-1.5b-q6,libdd_go_hook/test/test_go_read.c,density,0.3783783783783784,0.3844621513944223,0.006083773016043903,1.607854297097317
qwen-3b-q6,libdd_go_hook/test/test_go_ctx.c,lmcc_per_token,0.08455284552845528,0.10229007633587786,0.01773723080742258,20.977686435701706
qwen-3b-q6,libdd_go_hook/test/test_go_ctx.c,llm_cc,62.4,67.0,4.600000000000001,7.371794871794874
qwen-3b-q6,libdd_go_hook/test/test_go_ctx.c,mean_entropy,0.5607017796721419,0.65298982608847,0.09228804641632815,16.459381753753586
qwen-3b-q6,libdd_go_hook/test/test_go_ctx.c,density,0.2696476964769648,0.32213740458015266,0.05248970810318787,19.466032452338013
qwen-3b-q6,libdd_go_hook/test/test_go_hook_engine.c,lmcc_per_token,0.13370165745856352,0.12849162011173185,-0.005210037346831675,-3.896763470150964
qwen-3b-q6,libdd_go_hook/test/test_go_hook_engine.c,llm_cc,24.199999999999996,23.0,-1.1999999999999957,-4.958677685950397
qwen-3b-q6,libdd_go_hook/test/test_go_hook_engine.c,mean_entropy,1.244294867877532,1.2834296302151913,0.039134762337659224,3.1451357188681266
qwen-3b-q6,libdd_go_hook/test/test_go_hook_engine.c,density,0.5911602209944752,0.6201117318435754,0.028951510849100193,4.897405106249658
qwen-3b-q6,libdd_go_hook/test/test_go_pclntab.c,lmcc_per_token,0.09166666666666666,0.0689289501590668,-0.022737716507599856,-24.804781644654387
qwen-3b-q6,libdd_go_hook/test/test_go_pclntab.c,llm_cc,50.599999999999994,65.0,14.400000000000006,28.45849802371543
qwen-3b-q6,libdd_go_hook/test/test_go_pclntab.c,mean_entropy,0.8483281821242625,0.5823038027251048,-0.2660243793991577,-31.358663428228606
qwen-3b-q6,libdd_go_hook/test/test_go_pclntab.c,density,0.39311594202898553,0.256627783669141,-0.1364881583598445,-34.719568393840625
