model,id,tokens,lmcc_per_token,llm_cc,mean_entropy,density
qwen-0.5b-q4,after/libdd_go_hook/test/test_go_ctx.c,655,0.11267175572519084,73.8,0.8481559420201771,0.3969465648854962
qwen-0.5b-q4,after/libdd_go_hook/test/test_go_hook_engine.c,179,0.12849162011173185,23.0,1.51843143283915,0.6703910614525139
qwen-0.5b-q4,after/libdd_go_hook/test/test_go_pclntab.c,943,0.07804878048780488,73.6,0.7685374678664243,0.30328738069989397
qwen-0.5b-q4,after/libdd_go_hook/test/test_go_read.c,502,0.11035856573705179,55.4,0.9721392955657918,0.448207171314741
qwen-0.5b-q4,before/libdd_go_hook/test/test_go_ctx.c,738,0.0948509485094851,70.0,0.7058455658239975,0.33739837398373984
qwen-0.5b-q4,before/libdd_go_hook/test/test_go_hook_engine.c,181,0.14033149171270717,25.4,1.486730459161638,0.6187845303867403
qwen-0.5b-q4,before/libdd_go_hook/test/test_go_pclntab.c,552,0.09384057971014492,51.8,1.0200574709969643,0.43478260869565216
qwen-0.5b-q4,before/libdd_go_hook/test/test_go_read.c,555,0.11495495495495495,63.8,0.9067647413453422,0.409009009009009
qwen-0.5b-q4,heldout/bench/bench_python_format.c,1462,0.11532147742818057,168.6,0.94900956273736,0.4076607387140903
qwen-0.5b-q4,heldout/bench/bench_python_stack_capture.py,3081,0.14495293735800063,446.59999999999997,0.7861230625400899,0.34014930217461864
qwen-0.5b-q4,heldout/libdd_go_hook/src/go_abi.c,1324,0.07099697885196375,94.0,0.5197763267736997,0.20241691842900303
qwen-0.5b-q4,heldout/libdd_go_hook/src/go_ctx.c,953,0.12633788037775445,120.39999999999999,0.5638956214717278,0.25813221406086045
qwen-0.5b-q4,heldout/libdd_go_hook/src/go_pclntab.c,2383,0.13008812421317667,310.0,0.6055257733856879,0.3088543852287033
qwen-0.5b-q4,heldout/libdd_go_hook/src/go_read.c,266,0.14586466165413534,38.8,0.9274016251552086,0.42857142857142855
qwen-0.5b-q4,heldout/libdd_go_hook/src/go_type.c,6000,0.12109999999999999,726.5999999999999,0.7094174796495977,0.3425
qwen-0.5b-q4,heldout/libdd_go_hook/src/go_x86_decode.c,1267,0.1676400947119179,212.39999999999998,0.7472701101899265,0.38595106550907654
qwen-0.5b-q4,heldout/libdd_go_hook/test/fixtures/hello_http.go,108,0.19999999999999998,21.599999999999998,0.8148014630661001,0.42592592592592593
qwen-0.5b-q4,heldout/libdd_go_hook/test/fixtures/hello_parent_child.go,330,0.18787878787878787,61.99999999999999,0.8467085986427485,0.41818181818181815
qwen-0.5b-q4,heldout/libdd_go_hook/test/test_go_abi.c,780,0.08179487179487178,63.8,0.6736595622271124,0.27564102564102566
